,filter,tscale(d),med(doAllTemplateMetrics_reduceSeeingTemplate),med_seeingFwhmEff,diff_med_seeingFwhmEff,frac_med_seeingFwhmEff,mean(doAllTemplateMetrics_reduceSeeingTemplate),mean_seeingFwhmEff,diff_mean_seeingFwhmEff,frac_mean_seeingFwhmEff
0,u,3,1.1307980886710893,1.100912908081132,0.029885180589957372,1.027145817230944,1.1570046151700049,1.160071902667805,-0.003067287497800164,0.9973559505313883
1,u,7,1.1326551954711452,1.100912908081132,0.03174228739001328,1.028832696171525,1.1579484520950059,1.160071902667805,-0.002123450572799168,0.9981695526217678
2,u,14,1.132074277666017,1.100912908081132,0.031161369584885135,1.028305026997275,1.1573422109656144,1.160071902667805,-0.0027296917021906175,0.9976469633512257
3,u,28,1.1379579571382232,1.100912908081132,0.03704504905709127,1.0336493911418116,1.1606043397626513,1.160071902667805,0.0005324370948462942,1.000458969046334
4,g,3,1.092487036272188,1.0580701230411025,0.03441691323108542,1.0325280078149872,1.1177455878177902,1.1215922813402868,-0.003846693522496558,0.9965703281071979
5,g,7,1.094934913076741,1.0580701230411025,0.03686479003563847,1.0348415376569577,1.1213883155780735,1.1215922813402868,-0.00020396576221326512,0.9998181462501066
6,g,14,1.093909147426393,1.0580701230411025,0.03583902438529041,1.0338720691614294,1.1207540627363115,1.1215922813402868,-0.0008382186039752604,0.9992526530202458
7,g,28,1.1010980637970649,1.0580701230411025,0.04302794075596239,1.0406664358240185,1.1254198611433763,1.1215922813402868,0.0038275798030895647,1.0034126302995914
8,r,3,0.9875779204841085,0.9470739732927514,0.04050394719135708,1.0427674588612488,1.0214078145690326,1.0232624716221308,-0.0018546570530981743,0.9981875060362977
9,r,7,0.9880011933082553,0.9470739732927514,0.04092722001550386,1.043214385749837,1.0232054438597897,1.0232624716221308,-5.7027762341066435e-05,0.9999442686857746
10,r,14,0.9879968506555399,0.9470739732927514,0.040922877362788435,1.0432098004134875,1.0222941659683336,1.0232624716221308,-0.0009683056537972412,0.999053707449798
11,r,28,0.9937210087519531,0.9470739732927514,0.04664703545920168,1.0492538458184222,1.026892380499636,1.0232624716221308,0.003629908877505139,1.0035473878678955
12,i,3,0.9074545478469903,0.9018338934020431,0.005620654444947193,1.0062324719508424,0.9489964580861767,0.9689386363096861,-0.01994217822350941,0.9794185333557742
13,i,7,0.9083450460024468,0.9018338934020431,0.006511152600403691,1.0072199022991266,0.9506251738079797,0.9689386363096861,-0.0183134625017064,0.9810994609819097
14,i,14,0.9091937088965154,0.9018338934020431,0.007359815494472288,1.0081609435488263,0.9520389823269579,0.9689386363096861,-0.01689965398272819,0.982558592103322
15,i,28,0.9118370192439493,0.9018338934020431,0.010003125841906213,1.011091982586916,0.9521437351838224,0.9689386363096861,-0.01679490112586368,0.9826667030330951
16,z,3,0.9352422782362328,0.9080370466667622,0.027205231569470634,1.0299604863803036,0.9685307061921198,0.9809296847932112,-0.012398978601091404,0.9873599720822953
17,z,7,0.9367876504650168,0.9080370466667622,0.02875060379825456,1.0316623687368183,0.9699384729242037,0.9809296847932112,-0.010991211869007533,0.9887951072952548
18,z,14,0.9375579214048808,0.9080370466667622,0.029520874738118597,1.032510650139754,0.9704907754354603,0.9809296847932112,-0.010438909357750936,0.9893581471540933
19,z,28,0.9382701212100575,0.9080370466667622,0.03023307454329527,1.0332949791578168,0.9696117753284038,0.9809296847932112,-0.011317909464807374,0.9884620583511108
20,y,3,0.9453835426879235,0.9402537670555622,0.0051297756323612775,1.005455735262221,0.9698982420393079,0.9936741670900114,-0.023775925050703584,0.9760727149420301
21,y,7,0.9479562548656236,0.9402537670555622,0.0077024878100614425,1.0081919244356574,0.9731090143055937,0.9936741670900114,-0.02056515278441773,0.9793039273179024
22,y,14,0.9488561023486123,0.9402537670555622,0.0086023352930501,1.0091489506284974,0.9730765670348349,0.9936741670900114,-0.020597600055176524,0.9792712734844492
23,y,28,0.9590785394721248,0.9402537670555622,0.018824772416562663,1.0200209486801772,0.9826167248986305,0.9936741670900114,-0.01105744219138094,0.9888721649836557
